year;sp500_close_abs;sp500_close_rel_chg;vix_abs;vix_rel_chg;target_1d;target_5d;target_10d;target_20d
1990;323.09;0.001643105;29.58;-0.010702341;0.004023647;-0.006344981;-0.013897057;-0.024389489
1990;324.39;0.004023647;28.52;-0.035835024;-0.012115047;-0.005703012;-0.024014304;-0.040044391
1990;320.46;-0.012115047;30.190001;0.058555435;0.009174312;-0.005648131;-0.028022218;-0.024246396
1990;323.40;0.009174312;28.73;-0.048360416;-0.005473098;-0.020315399;-0.037353123;-0.036796537
1990;321.63;-0.005473098;29.34;0.021232162;-0.001834406;-0.012001368;-0.052980132;-0.025339676
1990;321.04;-0.001834406;28.379999;-0.03271987;0.004672315;-0.007600299;-0.039808124;-0.049651134
1990;322.54;0.004672315;28.120001;-0.009161311;-0.01206052;-0.01841632;-0.054194829;-0.068673653
1990;318.65;-0.01206052;29.33;0.043029835;-0.005711596;-0.022501177;-0.055484073;-0.072775773
1990;316.83;-0.005711596;30.559999;0.04193655;0.002966891;-0.01739103;-0.034024556;-0.053025282
1990;317.77;0.002966891;29.549999;-0.033049739;0.002611952;-0.04147654;-0.008905812;-0.045756365
1990;318.60;0.002611952;28.82;-0.024703859;-0.006277464;-0.032454488;-0.010640301;-0.061770245
1990;316.60;-0.006277464;27.879999;-0.032616273;-0.016171826;-0.036449779;-0.01642451;-0.056348705
1990;311.48;-0.016171826;28.66;0.027977081;-0.000513677;-0.033742134;0.00388468;-0.018428149
1990;311.32;-0.000513677;30.040001;0.048150768;-0.021617628;-0.01692792;0.000578183;0.00372607
1990;304.59;-0.021617628;30.559999;0.017310186;0.012048984;0.033980104;0.029186776;0.033389146
1990;308.26;0.012048984;28.809999;-0.0572644;-0.010380847;0.022545903;-0.010251087;0.013300461
1990;305.06;-0.010380847;28.190001;-0.021520237;-0.013407199;0.020782797;-0.015308464;0.024716449
1990;300.97;-0.013407199;28.67;0.017027279;0.016878759;0.038940758;-0.018307473;0.030567831
1990;306.05;0.016878759;29.110001;0.015347088;0.029047541;0.017807548;-0.019669989;-0.00437837
1990;314.94;0.029047541;28.059999;-0.036070146;0.000857306;-0.004635804;-0.037181685;-0.041468216
1990;315.21;0.000857306;27.280001;-0.027797506;-0.01208718;-0.032073856;-0.051679832;-0.035373243
1990;311.40;-0.01208718;27.9;0.022727235;0.004142582;-0.035356455;-0.04059088;-0.023763648
1990;312.69;0.004142582;27.51;-0.013978495;-0.003805686;-0.055102498;-0.022226486;-0.018132975
1990;311.50;-0.003805686;27.85;0.012359142;0.00635634;-0.03682183;0.003146067;0.001123596
1990;313.48;0.00635634;28.040001;0.006822298;-0.026732168;-0.032697461;0.004083195;0.003540896
1990;305.10;-0.026732168;30.709999;0.095221038;-0.015437561;-0.020255654;0.023795477;0.021370043
1990;300.39;-0.015437561;31.190001;0.015630154;-0.016411998;-0.005426279;0.040647159;0.018709012
1990;295.46;-0.016411998;33.98;0.089451712;0.015467407;0.034793204;0.049786773;0.041122318
