year;open_abs;high_abs;low_abs;close_abs;close_rel_chg;vol_abs;vol_rel_chg;range_abs;range_rel;1d_rel_chg;5d_rel_chg;10d_rel_chg;20d_rel_chg
1982;136.97;136.97;134.05;135.42;-0.011749252;102910000;0.304309252;2.92;0.021562546;0.018534928;-0.01838724;0.024368631;-0.001329198
1982;135.47;137.93;135.47;137.93;0.018534928;84440000;-0.179477213;2.46;0.017835134;0.002972522;-0.02936272;0.006452548;-0.019067643
1982;137.93;138.78;137.47;138.34;0.002972522;77620000;-0.080767409;1.31;0.009469423;-0.009541709;-0.025010843;0.002529999;-0.006144282
1982;138.35;138.93;137;137.02;-0.009541709;70310000;-0.094176759;1.93;0.014085535;-0.020434973;-0.020580937;0.034666472;-0.005619618
1982;137.03;137.1;134.21;134.22;-0.020434973;74960000;0.066135685;2.89;0.021531813;-0.009611086;0.032111459;0.063328863;0.032707495
1982;134.21;134.28;132.89;132.93;-0.009611086;72920000;-0.027214514;1.39;0.010456631;0.007146619;0.043556759;0.066877304;0.044384262
1982;132.92;133.88;132.92;133.88;0.007146619;67220000;-0.078167855;0.96;0.007170601;0.007469376;0.036898715;0.045712578;0.043621153
1982;133.89;134.88;133.89;134.88;0.007469376;38810000;-0.422642071;0.99;0.007339858;-0.005041518;0.028247331;0.034771649;0.054048043
1982;134.89;135.29;133.69;134.2;-0.005041518;61080000;0.57382118;1.6;0.011922504;0.032265276;0.056408346;0.042846498;0.048956781
1982;134.2;138.53;134.19;138.53;0.032265276;93470000;0.530288147;4.34;0.031328954;0.001371544;0.030246156;-0.008157078;0.01956255
1982;138.56;140.37;138.35;138.72;0.001371544;107850000;0.153846154;2.02;0.014561707;0.000720877;0.022347174;-0.025086505;0.011606113
1982;138.72;139.63;138.66;138.82;0.000720877;77600000;-0.280482151;0.97;0.006987466;-0.000936464;0.008500216;-0.025356577;0.013110503
1982;138.87;139.59;138.59;138.69;-0.000936464;71540000;-0.078092784;1;0.007210325;0.022207802;0.006345086;-0.00865239;-0.002523614
1982;138.7;141.77;138.01;141.77;0.022207802;83880000;0.172490914;3.76;0.026521831;0.006700995;-0.012837695;-0.038936305;-0.002892008
1982;141.79;143.68;141.79;142.72;0.006700995;111620000;0.330710539;1.89;0.013242713;-0.006306054;-0.037275785;-0.028797646;-0.005325112
1982;142.71;143.58;141.82;141.82;-0.006306054;97430000;-0.127127755;1.76;0.012410097;-0.012833169;-0.046396841;-0.021083063;0.024326611
1982;141.8;141.8;139.92;140;-0.012833169;90320000;-0.07297547;1.88;0.013428571;-0.003071429;-0.033571429;-0.002;0.037
1982;139.99;141.15;139.35;139.57;-0.003071429;86430000;-0.043069088;1.8;0.012896754;0.002722648;-0.014902916;0.018628645;0.051658666
1982;139.57;140.12;139.5;139.95;0.002722648;63140000;-0.26946662;0.62;0.004430154;-0.018220793;-0.026438014;0.005859235;0.041657735
1982;139.99;142.5;137.34;137.4;-0.018220793;98380000;0.558124802;5.16;0.037554585;-0.015720524;0.008806405;0.027947598;0.067612809
1982;137.4;137.4;135.12;135.24;-0.015720524;81030000;-0.176356983;2.28;0.016858917;0.000443656;0.026545401;0.037636794;0.077565809
1982;135.22;135.78;134.79;135.3;0.000443656;73680000;-0.090707146;0.99;0.007317073;0.016186253;0.032668145;0.039467849;0.083887657
1982;135.35;137.71;135.35;137.49;0.016186253;76010000;0.031623236;2.36;0.017164885;-0.009018838;0.034038839;0.006182268;0.067132155
1982;137.49;137.84;136.19;136.25;-0.009018838;62210000;-0.181555059;1.65;0.012110092;0.017321101;0.033174312;0.037504587;0.074495413
1982;136.24;139.27;136.07;138.61;0.017321101;78010000;0.25397846;3.2;0.023086357;0.001587187;0.0189741;0.02416853;0.048048481
1982;138.63;139.69;138.6;138.83;0.001587187;83470000;0.069991027;1.09;0.007851329;0.006410718;0.010804581;0.046387668;0.053734784
1982;138.84;139.94;138.84;139.72;0.006410718;62880000;-0.246675452;1.1;0.007872889;0.01753507;0.006584598;0.039078156;0.029559118
