Symbol;Date;Open;High;Low;Close
BDIY:IND;16/05/2017;980;980;980;980
BDIY:IND;15/05/2017;994;994;994;994
BDIY:IND;12/05/2017;1014;1014;1014;1014
BDIY:IND;11/05/2017;1012;1012;1012;1012
BDIY:IND;10/05/2017;1005;1005;1005;1005
BDIY:IND;09/05/2017;1007;1007;1007;1007
BDIY:IND;08/05/2017;1001;1001;1001;1001
BDIY:IND;05/05/2017;994;994;994;994
BDIY:IND;04/05/2017;1004;1004;1004;1004
BDIY:IND;03/05/2017;1034;1034;1034;1034
BDIY:IND;02/05/2017;1073;1073;1073;1073
BDIY:IND;01/05/2017;1109;1109;1109;1109
BDIY:IND;28/04/2017;1109;1109;1109;1109
BDIY:IND;27/04/2017;1134;1134;1134;1134
BDIY:IND;26/04/2017;1147;1147;1147;1147
BDIY:IND;25/04/2017;1154;1154;1154;1154
BDIY:IND;24/04/2017;1170;1170;1170;1170
BDIY:IND;21/04/2017;1195;1195;1195;1195
BDIY:IND;20/04/2017;1243;1243;1243;1243
BDIY:IND;19/04/2017;1278;1278;1278;1278
BDIY:IND;18/04/2017;1294;1294;1294;1294
BDIY:IND;17/04/2017;1296;1296;1296;1296
BDIY:IND;14/04/2017;1296;1296;1296;1296
BDIY:IND;13/04/2017;1296;1296;1296;1296
BDIY:IND;12/04/2017;1282;1282;1282;1282
BDIY:IND;11/04/2017;1262;1262;1262;1262
BDIY:IND;10/04/2017;1231;1231;1231;1231
BDIY:IND;07/04/2017;1223;1223;1223;1223
BDIY:IND;06/04/2017;1215;1215;1215;1215
BDIY:IND;05/04/2017;1223;1223;1223;1223
BDIY:IND;04/04/2017;1255;1255;1255;1255
BDIY:IND;03/04/2017;1282;1282;1282;1282
BDIY:IND;31/03/2017;1297;1297;1297;1297
BDIY:IND;30/03/2017;1324;1324;1324;1324
BDIY:IND;29/03/2017;1338;1338;1338;1338
BDIY:IND;28/03/2017;1333;1333;1333;1333
BDIY:IND;27/03/2017;1282;1282;1282;1282
BDIY:IND;24/03/2017;1240;1240;1240;1240
BDIY:IND;23/03/2017;1196;1196;1196;1196
BDIY:IND;22/03/2017;1190;1190;1190;1190
BDIY:IND;21/03/2017;1200;1200;1200;1200
BDIY:IND;20/03/2017;1205;1205;1205;1205
BDIY:IND;17/03/2017;1196;1196;1196;1196
BDIY:IND;16/03/2017;1172;1172;1172;1172
BDIY:IND;15/03/2017;1147;1147;1147;1147
BDIY:IND;14/03/2017;1112;1112;1112;1112
BDIY:IND;13/03/2017;1099;1099;1099;1099
BDIY:IND;10/03/2017;1086;1086;1086;1086
BDIY:IND;09/03/2017;1064;1064;1064;1064
BDIY:IND;08/03/2017;1045;1045;1045;1045
